SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
121,20,100,665,667,589,552,57280827,59857345,49851468
122,20,100,664,637,604,553,55607585,56835157,45753349
123,20,100,652,617,584,521,58850095,59020550,55439375
124,20,100,662,614,586,534,56265993,56994587,57129974
125,20,100,665,623,589,556,56776754,57887290,48660659
126,20,100,673,649,583,543,57866503,57730369,51254099
127,20,100,635,604,599,541,55280816,56821552,47953721
128,20,100,686,641,624,545,59131474,57005063,48828535
129,20,100,684,639,596,562,56476693,56298297,52040477
130,20,100,685,641,609,555,57785684,63840488,47898584
131,20,100,674,628,592,560,57881995,57381641,58662754
132,20,100,689,642,595,558,58680998,59986904,49504699
133,20,100,664,622,588,560,57655464,57764817,50483888
134,20,100,645,612,574,541,56781915,57735884,44010719
135,20,100,671,638,635,557,56921595,57718225,51023940
136,20,100,677,626,584,543,54970854,60684059,54417137
137,20,100,653,624,571,539,54561764,58998220,51262365
138,20,100,663,625,602,533,54560716,56407010,44390252
139,20,100,687,634,586,559,57115620,58412271,43541223
140,20,100,671,633,587,555,57764737,54489765,52999824
141,20,100,659,628,584,551,57353845,61064975,49390506
142,20,100,645,619,582,527,55702407,58660070,52189955
143,20,100,688,612,596,544,57759928,57555481,56630837
144,20,100,648,606,600,536,57387168,59481594,57271497
145,20,100,686,651,615,568,57865792,56006853,49968485
146,20,100,667,632,591,561,56768450,60208853,54660843
147,20,100,671,655,593,542,58598593,58181590,40844565
148,20,100,642,619,591,549,57211102,55253023,48783054
149,20,100,675,636,610,584,56007520,59207793,47588737
150,20,100,680,629,625,565,58689766,56166450,50869984
151,20,100,664,640,566,549,56451250,57542379,44419189
152,20,100,675,626,557,527,57151404,57554082,54459692
153,20,100,681,624,587,535,58393951,60345695,50005029
154,20,100,668,632,575,540,55760376,57040562,58866789
155,20,100,668,629,620,539,56340394,57599786,55195429
156,20,100,682,639,600,571,58308613,57573013,52182872
157,20,100,662,626,575,565,56543662,58646019,55955483
158,20,100,707,648,608,577,57927442,57713040,46012344
159,20,100,672,636,591,540,58032616,58017138,54040814
160,20,100,671,630,571,532,57815848,58645154,51228921
161,20,100,649,607,575,535,54446404,55537154,55947093
162,20,100,648,600,587,542,57099428,57485702,54740272
163,20,100,700,647,597,562,61022951,57957408,48470239
164,20,100,652,628,602,544,56750186,58047405,43489343
165,20,100,656,624,571,551,57271257,56568829,49057270
166,20,100,660,623,590,533,58662298,58573293,54798243
167,20,100,696,655,627,557,57883503,60208242,47378507
168,20,100,686,646,598,553,58179101,61089000,61629249
169,20,100,661,635,624,542,56778755,57614800,52125580
170,20,100,668,642,591,548,56395096,58014989,51590834
171,20,100,674,639,608,544,59790164,57586330,48423270
172,20,100,666,616,597,552,57787708,59025102,49231623
173,20,100,661,646,575,531,57756377,57485254,62712849
174,20,100,664,616,595,543,55873518,57265068,45948343
175,20,100,683,656,612,566,56179102,58475034,52302544
176,20,100,665,638,569,535,59566269,62158584,53446032
177,20,100,676,622,580,550,57038088,55868320,54714000
178,20,100,683,645,597,550,58069232,65193695,58946215
179,20,100,669,627,576,543,58735324,58030455,42442232
180,20,100,714,631,600,530,59531824,58849362,53077137
181,20,100,663,614,567,535,56787009,57307298,52713632
182,20,100,660,644,606,555,57084849,59347863,41595297
183,20,100,650,624,595,551,54372827,55527762,58949247
184,20,100,672,627,572,572,57005644,56774550,10237
185,20,100,686,640,602,555,58277894,58157825,61373571
186,20,100,705,645,598,559,55960676,56870214,55726758
187,20,100,672,630,579,542,57702028,59526719,51888059
188,20,100,645,612,581,546,57350167,55180903,49703969
189,20,100,671,648,597,596,55513971,59137353,48617805
190,20,100,652,609,600,546,55855611,57490512,56841699
