subject,part,score,reduction,outcome
staff_02,toiletseat,1,1,0
staff_02,UBhandrail,1,1,0
staff_02,bedside_table,1,,1
staff_02,toiletseat,1,,1
staff_02,toiletseat,1,,1
staff_02,UBhandrail,1,,1
staff_02,bedrail,1,,1
staff_02,bedrail,1,,1
staff_02,toiletseat,1,,1
staff_02,toiletseat,1,,1
staff_02,toiletseat,1,,1
staff_02,bedrail,1,,0
staff_02,bedboard,1,,0
staff_02,bedcontroller,1,,0
staff_02,toilet_seat_switch,1,,0
staff_02,toiletseat,1,,0
staff_02,toiletseat,1,,0
staff_02,bedrail,1,,0
staff_02,bedboard,1,,0
staff_02,tap,1,,0
staff_02,toiletseat,1,,0
staff_02,toiletseat,1,,0
staff_02,UBhandrail,1,,0
staff_02,bedboard,1,,1
staff_02,chair,1,1,1
staff_02,toilet_seat_switch,1,,1
staff_02,toiletseat,1,,1
staff_02,toiletseat,1,,1
staff_02,callbotton,,1,0
staff_03,bedrail,0,1,0
staff_03,overhead_table,0,1,0
staff_03,bedside_table,0,,0
staff_03,dispencer,0,,0
staff_03,UBlight_sw,0,,0
staff_03,chair,0,,0
staff_03,toilet_seat_switch,0,-0.6,0
staff_03,UBhandrail,0,,0
staff_03,bedrail,0,,0
staff_03,bedrail,0,,0
staff_03,bedrail,0,,0
staff_03,bedside_table,0,,0
staff_03,tap,0,-0.714285714285714,0
staff_03,UBlight_sw,0,,0
staff_03,closette,0,,0
staff_03,toilet_seat_switch,0,,0
staff_03,toiletseat,0,,0
staff_03,bedrail,0,,0
staff_03,bedrail,0,,0
staff_03,bedcontroller,0,,0
staff_03,overhead_table,0,,0
staff_03,bedside_table,0,,0
staff_03,closette,0,,0
staff_03,toilet_seat_switch,0,,0
staff_03,toiletseat,0,,0
staff_03,bedrail,0,,0
staff_03,overhead_table,0,,0
staff_03,handrail,0,1,0
staff_03,closette,0,,0
staff_03,bedrail,0,,0
staff_03,overhead_table,0,,0
staff_03,dispencer,0,,0
staff_03,handrail,0,,0
staff_03,chair,0,,0
staff_03,bedrail,0.5,1,0
staff_03,bedrail,0.5,,0
staff_03,overhead_table,0.5,,0
staff_03,toiletseat,0.5,,0
staff_03,bedrail,0.5,,0
staff_03,bedrail,0.5,,0
staff_03,bedrail,0.5,,0
staff_03,callbotton,0.5,1,0
staff_03,toilet_seat_switch,0.5,,0
staff_03,bedrail,0.5,,0
staff_03,toilet_seat_switch,0.5,,0
staff_03,toiletseat,0.5,,0
staff_03,toiletseat,0.5,,0
staff_03,bedrail,1,1,0
staff_03,bedrail,1,1,0
staff_03,bedrail,1,,0
staff_03,bedboard,1,1,0
staff_03,toiletseat,1,1,0
staff_03,toiletseat,1,0,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,showerhead,1,,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,dispencer,1,,0
staff_03,UBlight_sw,1,,0
staff_03,toiletseat,1,,0
staff_03,showerhead,1,,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,tap,1,,0
staff_03,toiletseat,1,,0
staff_03,toiletseat,1,,0
staff_03,showerhead,1,,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,bedrail,1,,0
staff_03,callbotton,1,,0
staff_03,UBhandrail,1,,0
staff_03,bedboard,,1,0
staff_03,doorhandle,,1,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,overhead_table,0,,0
staff_04,bedside_table,0,,0
staff_04,UBlight_sw,0,,0
staff_04,doorhandle,0,,0
staff_04,toiletseat,0,,0
staff_04,toiletseat,0,,0
staff_04,UBhandrail,0,,0
staff_04,bedrail,0,1,1
staff_04,bedboard,0,,1
staff_04,callbotton,0,,1
staff_04,dispencer,0,,1
staff_04,UBlight_sw,0,,1
staff_04,toiletseat,0,,1
staff_04,toiletseat,0,,1
staff_04,toiletseat,0,,1
staff_04,UBhandrail,0,,1
staff_04,bedrail,0,,1
staff_04,bedboard,0,,1
staff_04,bedside_table,0,,1
staff_04,UBlight_sw,0,,1
staff_04,doorhandle,0,,1
staff_04,toiletseat,0,,1
staff_04,toiletseat,0,,1
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedside_table,0,,0
staff_04,tap,0,,0
staff_04,handrail,0,,0
staff_04,closette,0,,0
staff_04,UBhandrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedcontroller,0,-0.0625,0
staff_04,overhead_table,0,,0
staff_04,bedside_table,0,,0
staff_04,dispencer,0,,0
staff_04,bedrail,0,,0
staff_04,overhead_table,0,,0
staff_04,tap,0,,0
staff_04,handrail,0,,0
staff_04,doorhandle,0,,0
staff_04,toiletseat,0,,0
staff_04,toiletseat,0,,0
staff_04,bedrail,0,,0
staff_04,bedboard,0,,0
staff_04,overhead_table,0,,0
staff_04,dispencer,0,,0
staff_04,UBlight_sw,0,,0
staff_04,toilet_seat_switch,0,,0
staff_04,bedrail,0,,0
staff_04,bedboard,0,,0
staff_04,overhead_table,0,,0
staff_04,UBlight_sw,0,,0
staff_04,toiletseat,0,,0
staff_04,bedrail,0,,0
staff_04,bedboard,0,,0
staff_04,overhead_table,0,,0
staff_04,doorhandle,0,,0
staff_04,toilet_seat_switch,0,,0
staff_04,toiletseat,0,-1,0
staff_04,toiletseat,0,-0.875,0
staff_04,UBhandrail,0,,0
staff_04,bedrail,0,,0
staff_04,bedrail,0,,0
staff_04,overhead_table,0,,0
staff_04,chair,0,,0
