SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
0,3,3,21,21,21,21,14,14,25
1,3,3,32,32,32,32,13,14,29
2,3,3,21,21,21,21,12,12,12
3,3,3,19,19,19,16,12,12,12
4,3,3,24,24,24,22,31,31,31
5,3,3,28,28,28,24,23,23,23
6,3,3,19,19,19,18,13,13,13
7,3,3,26,26,26,21,27,27,28
8,3,3,24,24,24,23,12,12,12
9,3,3,27,27,27,21,36,36,37
