SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
0,8,8,64,64,64,54,574412,570274,568398
1,8,8,69,69,69,66,25318833,34212337,31900710
2,8,8,52,52,52,42,1536772,1532690,1528023
3,8,8,67,67,67,51,3112550,3107349,3109405
4,8,8,65,65,65,52,2461812,2459342,2852229
5,8,8,64,64,64,55,10668279,10282118,15855665
6,8,8,63,63,63,48,1775898,1770805,1772008
7,8,8,57,57,57,56,19067,23540,21710
8,8,8,60,60,60,50,1140363,1140075,1131338
9,8,8,67,67,67,51,98922611,111984243,120587379
