SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
0,4,4,23,23,23,18,80,80,80
1,4,4,34,34,34,32,54,54,54
2,4,4,35,35,35,29,137,135,137
3,4,4,33,33,33,26,57,57,57
4,4,4,34,34,34,33,113,89,78
5,4,4,40,40,40,33,209,209,308
6,4,4,38,38,38,34,29,29,29
7,4,4,36,36,36,34,136,136,129
8,4,4,33,33,33,26,209,208,245
9,4,4,26,26,26,23,133,133,86
